INCIDENT_KEY,YEAR,Month
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2006,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
1,2007,September
